name;lat;long;country;population
Ingeniero Luis A. Huergo;-39.0833;-67.2333;Argentina;6227
Isidro Casanova;-34.7000;-58.5833;Argentina;190696
Ituzaingo;-34.6582;-58.6672;Argentina;135275
Jesus Maria;-30.9817;-64.0942;Argentina;31602
Jesus Nazareno;-32.9111;-68.7900;Argentina;6875
Joaquin V. Gonzalez;-25.1171;-64.1247;Argentina;13376
Jose C. Paz;-34.5167;-58.7667;Argentina;216637
Jose Maria Ezeiza;-34.8333;-58.5167;Argentina;160219
Jose Marmol;-34.7833;-58.3667;Argentina;41109
Junin;-34.5939;-60.9464;Argentina;85007
Junin de los Andes;-39.9506;-71.0694;Argentina;12621
Justiniano Posse;-32.8833;-62.6667;Argentina;8499
La Banda;-27.7333;-64.2500;Argentina;106441
La Calera;-31.3439;-64.3353;Argentina;32227
La Carlota;-33.4179;-63.2935;Argentina;12537
La Falda;-31.0833;-64.5000;Argentina;16335
La Paz;-33.4661;-67.5500;Argentina;4400
La Plata;-34.9333;-57.9500;Argentina;193144
La Quiaca;-22.1056;-65.6000;Argentina;13761
La Reja;-34.6394;-58.8283;Argentina;47839
La Rioja;-29.4131;-66.8558;Argentina;180995
Laboulaye;-34.1267;-63.3911;Argentina;20534
Laguna Larga;-31.7764;-63.8011;Argentina;7437
Laguna Paiva;-31.3039;-60.6589;Argentina;12334
Lamarque;-39.4236;-65.7000;Argentina;7686
Lanus;-34.7000;-58.4000;Argentina;459263
Laprida;-37.5333;-60.8167;Argentina;8178
Las Heras;-32.8250;-68.8017;Argentina;66663
Las Heras;-46.5500;-68.9500;Argentina;17821
Las Lajas;-38.5208;-70.3667;Argentina;1218
Las Lomitas;-24.7072;-60.5944;Argentina;7683
Las Parejas;-32.6833;-61.5333;Argentina;12375
Leones;-32.6617;-62.2967;Argentina;10391
Libertad;-34.6833;-58.6833;Argentina;100324
Libertador General San Martin;-23.8000;-64.7833;Argentina;49267
Lincoln;-34.8500;-61.5167;Argentina;24798
Lobos;-35.1864;-59.0961;Argentina;18278
Lomas de Zamora;-34.7667;-58.4000;Argentina;112580
Lomas del Mirador;-34.6667;-58.5297;Argentina;71479
Longchamps;-34.8596;-58.3870;Argentina;47622
Los Blancos;-23.5996;-62.6000;Argentina;1145
Los Menucos;-40.8424;-68.0896;Argentina;5187
Los Polvorines;-34.5000;-58.7000;Argentina;60867
Lujan;-34.5703;-59.1050;Argentina;81749
Macachin;-37.1377;-63.6620;Argentina;5465
Malargue;-35.4745;-69.5853;Argentina;11847
Malvinas Argentinas;-31.3697;-64.0531;Argentina;12187
Mar de Ajo;-36.7162;-56.6766;Argentina;13610
Mar del Plata;-38.0000;-57.5500;Argentina;593337
Marcos Juarez;-32.7000;-62.1000;Argentina;27004
Mendoza;-32.8833;-68.8333;Argentina;114822
Mercedes;-34.6500;-59.4333;Argentina;52949
Mercedes;-29.1796;-58.0800;Argentina;30649
Merlo;-34.6653;-58.7275;Argentina;244168
Mina Clavero;-31.7239;-65.0050;Argentina;8487
Monte Chingolo;-34.7333;-58.3500;Argentina;85060
Monte Cristo;-31.3431;-63.9444;Argentina;9254
Monte Quemado;-25.8072;-62.8278;Argentina;11387
Moron;-34.6500;-58.6167;Argentina;99066
Munro;-34.5333;-58.5167;Argentina;35844
Necochea;-38.5500;-58.7333;Argentina;80478
Neuquen;-38.9573;-68.0455;Argentina;231198
Nueve de Julio;-35.4500;-60.8833;Argentina;36494
Obera;-27.4833;-55.1333;Argentina;66112
Olavarria;-36.9000;-60.3333;Argentina;86320
Oliva;-32.0416;-63.5698;Argentina;11672
Oncativo;-31.9134;-63.6818;Argentina;13180
Pampa del Infierno;-26.5167;-61.1667;Argentina;2921
Parana;-31.7444;-60.5175;Argentina;247863
Pedro Luro;-39.5000;-62.6833;Argentina;9494
Pergamino;-33.8836;-60.5669;Argentina;87652
